,image,num_nuclei,num_chromosomes,num_ecDNA,context_message
187,1376.tif,1,0,0,"['{""ecDNA"": 2}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
188,1377.tif,1,0,0,"['{""ecDNA"": 3}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 2\n}']"
189,138.tif,0,3,7,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
190,1380.tif,1,0,0,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
191,1381.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n""ecDNA"": 2\n}']"
192,1389.tif,0,30,5,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 1\n}', '{\n  ""ecDNA"": 0\n}']"
193,1390.tif,0,21,11,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
194,1393.tif,0,15,6,"['{\n""ecDNA"": 5\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
195,1394.tif,0,15,9,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
196,14.tif,0,8,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
197,1405.tif,0,7,12,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
198,1406.tif,0,8,7,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
199,1408.tif,0,1,12,"['{""ecDNA_count"": 2}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
200,1409.tif,0,18,11,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
201,1410.tif,0,23,17,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
202,1411.tif,0,7,4,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}']"
203,1413.tif,0,14,10,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
204,1414.tif,0,13,19,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
205,1415.tif,0,3,2,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
206,1425.tif,0,8,2,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
207,1426.tif,0,3,4,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 3\n}', '{""ecDNA_count"": 1}']"
208,1428.tif,0,2,2,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
209,1429.tif,0,29,47,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
210,1430.tif,0,23,36,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
211,1433.tif,0,10,13,"['{""ecDNA"": 2}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
212,1434.tif,0,8,14,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 2\n}']"
213,1444.tif,0,1,0,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
214,1445.tif,0,2,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
215,1446.tif,0,1,1,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}']"
216,1448.tif,0,6,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
217,1449.tif,0,16,4,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
218,145.tif,0,10,30,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
219,1450.tif,0,32,5,"['{\n""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n""ecDNA_count"": 2\n}']"
220,1451.tif,0,9,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 1\n}']"
221,1453.tif,0,13,1,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 2\n}', '{""ecDNA"": 3}']"
222,1454.tif,0,11,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
223,146.tif,0,6,26,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
224,1460.tif,1,0,0,"['{""ecDNA"": 0}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
225,1465.tif,0,8,5,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 1\n}']"
226,1468.tif,0,15,3,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 1\n}']"
227,1469.tif,0,30,18,"['{\n""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
228,1470.tif,0,11,11,"['{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": 1\n}', '{""ecDNA_count"": 0}']"
229,1473.tif,0,16,15,"['{""ecDNA"": 3}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
230,1474.tif,0,6,15,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 0\n}', '{""ecDNA"": 1}']"
231,148.tif,0,6,30,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
232,1480.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 1\n}']"
233,1484.tif,1,0,0,"['{""ecDNA"": 3}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
234,1485.tif,0,2,8,"['{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
235,1489.tif,0,35,55,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
236,149.tif,0,30,81,"['{""ecDNA_count"": 3}', '{\n  ""ecDNA_count"": 0\n}', '{""ecDNA"": 2}']"
237,1490.tif,0,14,18,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA_count"": 2\n}']"
238,1492.tif,0,1,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
239,1493.tif,0,28,22,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{""ecDNA_count"": 1}']"
240,1494.tif,0,13,10,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA"": 0\n}']"
241,15.tif,5,2,1,"['{""ecDNA_count"": 1}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
242,150.tif,0,15,61,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{""ecDNA_count"": 3}']"
243,1508.tif,1,1,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
244,1509.tif,0,8,13,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n""ecDNA"": 3\n}']"
245,151.tif,0,7,37,"['{""ecDNA_count"":2}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
246,1512.tif,0,13,19,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 0\n}', '{""ecDNA"": 3}']"
247,1513.tif,0,44,33,"['{\n""ecDNA"": 5\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
248,1514.tif,0,5,15,"['{\n""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
249,152.tif,0,9,29,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
250,153.tif,0,17,55,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
251,1532.tif,1,0,3,"['{\n""ecDNA_count"": 1\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
252,1533.tif,1,0,14,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA"": 1\n}']"
253,1534.tif,0,12,32,"['{\n""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
254,1536.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
255,1537.tif,0,13,21,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
256,1538.tif,16,16,25,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 2\n}', '{""ecDNA"": 0}']"
257,154.tif,0,20,62,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
258,1543.tif,1,0,0,"['{\n""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
259,1549.tif,0,11,13,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
260,155.tif,0,7,13,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
261,1550.tif,0,7,14,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 3\n}']"
262,1552.tif,0,2,1,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 1\n}']"
263,1553.tif,0,34,45,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
264,1554.tif,0,29,32,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 10\n}', '{\n  ""ecDNA"": 2\n}']"
265,1557.tif,0,5,9,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
266,1558.tif,0,8,6,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
267,1562.tif,1,0,0,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 2\n}', '{""ecDNA_count"":2}']"
268,1569.tif,0,14,28,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
269,157.tif,0,3,28,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
270,1570.tif,0,8,16,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 0\n}', '{\n""ecDNA"": 10\n}']"
271,1573.tif,0,21,42,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
272,1574.tif,0,9,11,"['{""ecDNA_count"": 3}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
273,1588.tif,0,2,0,"['{\n""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 1\n}', '{\n  ""ecDNA"": 0\n}']"
274,1589.tif,0,25,14,"['{""ecDNA"": 5}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 2}']"
275,1590.tif,0,23,18,"['{""ecDNA_count"":2}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 10\n}']"
276,1592.tif,0,6,1,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
277,1593.tif,0,31,18,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 2\n}', '{""ecDNA_count"": 2}']"
278,1594.tif,1,22,24,"['{""ecDNA"": 0}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
279,1595.tif,15,0,5,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 10\n}']"
280,1597.tif,0,1,4,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 2\n}']"
281,1598.tif,1,3,0,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}']"
282,1599.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
283,16.tif,4,8,6,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
284,1605.tif,0,3,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 10\n}']"
285,1606.tif,0,3,0,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
286,1609.tif,0,40,11,"['{\n""ecDNA"": 2\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
287,1610.tif,0,20,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
288,1613.tif,0,15,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
289,1614.tif,0,17,2,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 1\n}', '{""ecDNA_count"": 1}']"
290,162.tif,0,2,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA_count"": 1\n}']"
291,1626.tif,1,0,2,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
292,1627.tif,2,0,0,"['{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
293,1628.tif,2,0,0,"['{""ecDNA"": 4}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
294,1629.tif,0,28,42,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 2\n}']"
295,1630.tif,1,23,22,"['{""ecDNA_count"": 2}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
296,1631.tif,1,0,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 3\n}']"
297,1633.tif,0,27,32,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
298,1634.tif,0,22,31,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 3\n}', '{\n""ecDNA"": 1\n}']"
299,1637.tif,0,7,10,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
300,1638.tif,0,3,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
301,1645.tif,0,2,2,"['{""ecDNA"": 0}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
302,1648.tif,0,2,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 2\n}', '{""ecDNA"": 3}']"
303,1649.tif,0,56,14,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
304,165.tif,0,7,18,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
305,1650.tif,0,11,1,"['{\n""ecDNA"": 0\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
306,1653.tif,0,11,6,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
307,166.tif,0,27,65,"['{""ecDNA"": 3}', '{\n  ""ecDNA_count"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
308,1661.tif,1,2,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
309,1662.tif,2,2,0,"['{\n  ""ecDNA_count"": 1\n}', '{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
310,1665.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}']"
311,1666.tif,3,1,1,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
312,1669.tif,0,19,13,"['{""ecDNA_count"": 0}', '{\n  ""count"": 0\n}', '{\n""ecDNA"": 10\n}']"
313,167.tif,0,30,42,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 10\n}']"
314,1670.tif,1,41,36,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{""ecDNA"": 0}']"
315,1671.tif,4,15,11,"['{\n""ecDNA"": 2\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
316,1673.tif,0,6,10,"['{""ecDNA"": 3}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
317,1674.tif,1,24,13,"['{""ecDNA"": 3}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
318,1675.tif,1,2,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 0\n}']"
319,168.tif,0,16,7,"['{""ecDNA"": 2}', '{\n  ""ecDNA_count"": 2\n}', '{""ecDNA_count"":3}']"
320,1681.tif,0,3,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 0\n}', '{""ecDNA"": 0}']"
321,1686.tif,0,5,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
322,1689.tif,1,3,1,"['{""ecDNA_count"":2}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA_count"": 0\n}']"
323,169.tif,0,23,24,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 10\n}']"
324,1690.tif,0,36,7,"['{""ecDNA"": 0}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
325,1691.tif,0,8,2,"['{\n  ""ecDNA_count"": 1\n}', '{\n  ""count"": 10\n}', '{\n  ""ecDNA"": 1\n}']"
326,1693.tif,1,0,0,"['{""ecDNA"": 3}', '{\n  ""ecDNA_count"": 10\n}', '{\n  ""ecDNA"": 0\n}']"
327,1694.tif,0,15,11,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
328,1695.tif,0,15,3,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 3\n}']"
329,17.tif,1,0,0,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n""ecDNA_count"": 2\n}']"
330,170.tif,0,18,49,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
331,1705.tif,0,2,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
332,1706.tif,0,2,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 2\n}', '{\n""ecDNA"": 0\n}']"
333,1709.tif,0,18,3,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
334,171.tif,2,11,11,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
335,1710.tif,0,32,5,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
336,1711.tif,0,1,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
337,1713.tif,0,12,5,"['{\n""ecDNA"": 0\n}', '{\n  ""count"": 10\n}', '{\n  ""ecDNA"": 2\n}']"
338,1714.tif,0,12,5,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
339,172.tif,0,6,6,"['{""ecDNA"": 4}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA"": 3\n}']"
340,1720.tif,2,1,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 10\n}', '{\n  ""ecDNA_count"": 3\n}']"
341,1721.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
342,1722.tif,0,3,6,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{""ecDNA"": 0}']"
343,1724.tif,2,0,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 2}']"
344,1725.tif,1,1,3,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
345,1726.tif,1,7,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
346,1727.tif,1,1,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
347,1728.tif,1,0,0,"['{""ecDNA"": 5}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA_count"": 3\n}']"
348,1729.tif,3,17,9,"['{""ecDNA"": 2}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
349,173.tif,0,35,29,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
350,1730.tif,0,41,16,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA_count"": 1\n}', '{\n  ""ecDNA"": 1\n}']"
351,1731.tif,0,4,10,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
352,1732.tif,1,5,7,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n""ecDNA"": 0\n}']"
353,1733.tif,2,1,1,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
354,1734.tif,1,15,5,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA_count"": 0\n}']"
355,1735.tif,0,2,11,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
356,1736.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
357,1737.tif,3,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
358,1738.tif,1,0,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 10\n}']"
359,1739.tif,0,1,9,"['{""ecDNA_count"": 1}', '{\n  ""ecDNA_count"": 0\n}', '{""ecDNA"": 0}']"
360,174.tif,1,11,25,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
361,1740.tif,1,0,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
362,1744.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
363,1745.tif,1,0,3,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
364,1749.tif,1,12,3,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
365,175.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 2\n}', '{""ecDNA"": 0}']"
366,1750.tif,0,38,24,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
367,1751.tif,0,4,1,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
368,1753.tif,0,5,5,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 10\n}']"
369,1754.tif,0,26,12,"['{""ecDNA"": 2}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}']"
370,1755.tif,5,10,12,"['{\n""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n""ecDNA"": 0\n}']"
371,1758.tif,1,1,1,"['{""ecDNA_count"": 3}', '{\n  ""count"": 1\n}', '{""ecDNA"": 2}']"
372,1759.tif,2,0,3,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
373,1760.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 2\n}']"
