,image,num_nuclei,num_chromosomes,num_ecDNA,agg_results
296,1631.tif,1,0,1,"['{\n    ""ecDNA"": 20\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 3\n}']"
297,1633.tif,0,27,32,"['{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
298,1634.tif,0,22,31,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 3\n}', '{\n""ecDNA"": 0\n}']"
299,1637.tif,0,7,10,"['```json\n[\n  {\n    ""x"": 35,\n    ""y"": 37,\n    ""w"": 20,\n    ""h"": 20,\n    ""ecDNA"": 1\n  },\n  {\n    ""x"": 8,\n    ""y"": 7,\n    ""w"": 60,\n    ""h"": 60,\n    ""ecDNA"": 1\n  }\n]\n```', '{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 5\n}', '{\n    ""ecDNA"": 2\n}']"
300,1638.tif,0,3,2,"['{""ecDNA"": {""count"": 5}}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": 1\n}']"
301,1645.tif,0,2,2,"['{\n""ecDNA"": 3,\n""nuclei"": 5,\n""chromosomes"": 8\n}', '{""ecDNA"": 5}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 1000\n  }\n}', '```json\n{\n  ""ecDNA"": 5\n}\n```']"
302,1648.tif,0,2,1,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 10\n  }\n}', '{\n  ""ecDNA"": 3\n}']"
303,1649.tif,0,56,14,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 10\n}', '{\n  ""ecDNA"": 10,\n  ""nuclei"": 35,\n  ""chromosomes"": 29\n}']"
304,165.tif,0,7,18,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 2\n  }\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 20\n}']"
305,1650.tif,0,11,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}', '{\n""ecDNA"": 10\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 3}']"
306,1653.tif,0,11,6,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 3\n}']"
307,166.tif,0,27,65,"['{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 205\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}']"
308,1661.tif,1,2,0,"['{""ecDNA"": 5}', '{\n  ""ecDNA"": {\n    ""count"": 4\n  }\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '```json\n{\n  ""ecDNA"": 0\n}\n```']"
309,1662.tif,2,2,0,"['{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n""ecDNA"": 3\n}', '{\n""ecDNA"": {\n    ""count"": 10\n}\n}', '{\n  ""ecDNA"": 3\n}']"
310,1665.tif,1,0,0,"['{""ecDNA"": 0}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 0}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
311,1666.tif,3,1,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}']"
312,1669.tif,0,19,13,"['{""ecDNA"": 3}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
313,167.tif,0,30,42,"['{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 5}', '{""ecDNA"":1}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}']"
314,1670.tif,1,41,36,"['{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 123\n}', '{\n  ""ecDNA"": 3\n}', '```json\n[1]\n```', '```json\n[\n  {\n    ""count"": 2\n  }\n]\n```']"
315,1671.tif,4,15,11,"['{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
316,1673.tif,0,6,10,"['{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 3\n}', '{\n""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}', '```json\n[1]\n```']"
317,1674.tif,1,24,13,"['{\n""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
318,1675.tif,1,2,0,"['{""ecDNA_count"":3}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
319,168.tif,0,16,7,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}']"
320,1681.tif,0,3,0,"['{\n  ""ecDNA"": {\n    ""count"": 2\n  }\n}', '```json\n[1]\n```', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 2\n}', '{\n""ecDNA"": 3\n}']"
321,1686.tif,0,5,1,"['{\n    ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 1}', '{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
322,1689.tif,1,3,1,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 4\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
323,169.tif,0,23,24,"['{\n""ecDNA"": 5\n}', '{\n  ""ecDNA"": 10\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{""ecDNA"":3}']"
324,1690.tif,0,36,7,"['{""ecDNA"": 2}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
325,1691.tif,0,8,2,"['{\n""ecDNA"": {\n""count"": 3,\n""location"": ""top right""\n}\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 0\n}']"
326,1693.tif,1,0,0,"['{\n  ""ecDNA_count"": 10\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 2\n}', '```json\n[\n  {\n    ""ecDNA"": 2\n  }\n]\n```', '{\n  ""ecDNA"": 3\n}']"
327,1694.tif,0,15,11,"['{\n""ecDNA"": 0\n}', '{\n    ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 0\n}']"
328,1695.tif,0,15,3,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n    ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
329,17.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 2\n}', '{\n""ecDNA"": 3\n}', '{""ecDNA"":2}']"
330,170.tif,0,18,49,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA_count"":3}', '{\n    ""ecDNA"": 3\n}', '{\n""ecDNA"": 2\n}']"
331,1705.tif,0,2,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 5\n  }\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
332,1706.tif,0,2,1,"['{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}', '{""ecDNA"": 3}', '```json\n{\n  ""ecDNA"": 0\n}\n```', '```json\n{\n  ""ecDNA"": 500000\n}\n```']"
333,1709.tif,0,18,3,"['{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 1\n}', '{\n""ecDNA"": 2\n}', '{\n""ecDNA"": {\n""number"": 0\n}\n}', '{\n  ""ecDNA"": 0\n}']"
334,171.tif,2,11,11,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}', '{""ecDNA"": 0}', '{\n  ""ecDNA"": 2\n}']"
335,1710.tif,0,32,5,"['{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '```json\n{\n  ""ecDNA"": 5\n}\n```', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 3\n}']"
336,1711.tif,0,1,2,"['{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
337,1713.tif,0,12,5,"['{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 1}', '{""ecDNA"": 0}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
338,1714.tif,0,12,5,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 5\n}', '{\n""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 5\n}']"
339,172.tif,0,6,6,"['```json\n[0]\n```', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 2}', '```json\n{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}\n```']"
340,1720.tif,2,1,0,"['{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 0\n}', '{""ecDNA"": 3}', '{\n""ecDNA"": 3\n}', '```json\n[\n    {\n        ""ecDNA"": [\n            {\n                ""x"": 0,\n                ""y"": 0,\n                ""radius"": 0,\n                ""color"": [255, 255, 255]\n            },\n            {\n                ""x"": 0,\n                ""y"": 0,\n                ""radius"": 0,\n                ""color"": [255, 255, 255]\n            },\n            {\n                ""x"": 0,\n                ""y"": 0,\n                ""radius"": 0,\n                ""color"": [']"
341,1721.tif,1,0,0,"['{\n""ecDNA"": 0\n}', '```json\n{\n  ""ecDNA"": 5\n}\n```', '{""ecDNA"":3}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
342,1722.tif,0,3,6,"['{\n    ""ecDNA_count"": 1\n}', '{\n    ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 5\n}']"
343,1724.tif,2,0,2,"['{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '```json\n[3]\n```', '{\n  ""ecDNA"": 5\n}']"
344,1725.tif,1,1,3,"['{\n""ecDNA"": 10\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}']"
345,1726.tif,1,7,1,"['{\n  ""ecDNA"": 0\n}', '```json\n[\n    {\n        ""ecDNA"": 3\n    }\n]\n```', '```json\n{\n  ""ecDNA"": 3\n}\n```', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
346,1727.tif,1,1,2,"['{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '{\n    ""ecDNA"": 3\n}', '{""ecDNA"": 4}', '```json\n[3]\n```', '{\n""ecDNA"": 0\n}']"
347,1728.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 1\n}']"
348,1729.tif,3,17,9,"['{\n  ""ecDNA"": 20\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}']"
349,173.tif,0,35,29,"['{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '```json\n{\n  ""ecDNA"": 3\n}\n```', '{\n  ""ecDNA"": 3\n}']"
350,1730.tif,0,41,16,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 2\n}']"
351,1731.tif,0,4,10,"['{""ecDNA"": 2}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 1\n}', '{\n""ecDNA"": 1\n}']"
352,1732.tif,1,5,7,"['{\n  ""ecDNA_count"": 3\n}', '```json\n[3]\n```', '{""ecDNA"": 5}', '{\n    ""ecDNA"": 3\n}', '```json\n{\n  ""ecDNA"": 5\n}\n```']"
353,1733.tif,2,1,1,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 10\n}', '{\n  ""ecDNA"": 1\n}', '{""ecDNA"": 5}']"
354,1734.tif,1,15,5,"['{\n""ecDNA"": 1\n}', '{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
355,1735.tif,0,2,11,"['{\n  ""ecDNA"": 0\n}', '```json\n[10]\n```', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
356,1736.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
357,1737.tif,3,0,0,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 20\n}', '{\n  ""ecDNA"": 0\n}']"
358,1738.tif,1,0,1,"['{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}']"
359,1739.tif,0,1,9,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
360,174.tif,1,11,25,"['{\n""ecDNA"": 3\n}', '{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
361,1740.tif,1,0,2,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 10\n}', '{""ecDNA"": 2}', '{\n  ""ecDNA"": 3\n}']"
362,1744.tif,1,0,0,"['{\n  ""ecDNA"": 4\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 0}', '{\n""ecDNA"": 3\n}']"
363,1745.tif,1,0,3,"['{\n  ""ecDNA"": 4\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 1000\n}']"
364,1749.tif,1,12,3,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 1\n}', '```json\n{\n  ""ecDNA"": 3\n}\n```', '{""ecDNA"": 5}', '{\n  ""ecDNA"": 3\n}']"
365,175.tif,1,0,0,"['{\n  ""ecDNA"": 20\n}', '{""ecDNA"": {""count"": 0}}', '{\n  ""ecDNA"": {\n    ""value"": 0,\n    ""units"": """"\n  }\n}', '{\n  ""ecDNA"": 2\n}', '{""ecDNA"": 3}']"
366,1750.tif,0,38,24,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
367,1751.tif,0,4,1,"['{\n  ""ecDNA"": 1\n}', '{""ecDNA"": 2}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}']"
368,1753.tif,0,5,5,"['```json\n[\n  {\n    ""ecDNA"": 2\n  }\n]\n```', '{\n    ""ecDNA"": 2\n}', '{""ecDNA"":3}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
369,1754.tif,0,26,12,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 2}', '{""ecDNA"": 5}', '{\n  ""ecDNA"": 0\n}']"
370,1755.tif,5,10,12,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '```json\n{\n  ""ecDNA"": 3\n}\n```', '{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}']"
371,1758.tif,1,1,1,"['{""ecDNA"": 5}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '```json\n{\n  ""ecDNA"": 2\n}\n```', '{\n  ""ecDNA"": 0\n}']"
372,1759.tif,2,0,3,"['{\n  ""ecDNA"": {\n    ""count"": 1\n  }\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 2\n}', '{\n    ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 12\n}']"
373,1760.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '```json\n{\n  ""ecDNA"": 3\n}\n```', '{""ecDNA"": 0}', '{""ecDNA"": 3}', '{\n""ecDNA"": 10\n}']"
374,1764.tif,1,0,0,"['{""ecDNA_count"": 0}', '{\n    ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 4\n}', '{\n    ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}']"
375,1765.tif,1,0,0,"['{\n  ""ecDNA_count"": 10\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
376,1766.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 1\n}', '```json\n[2]\n```', '{\n""ecDNA"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
377,1768.tif,3,0,0,"['{\n  ""ecDNA"": 4\n}', '{\n""ecDNA"": 4506237\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
378,1769.tif,2,5,2,"['```json\n[\n  {\n    ""count"": 0\n  }\n]\n```', '{\n  ""ecDNA"": {\n    ""count"": 5\n  }\n}', '{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 1\n}', '{""ecDNA"":2}']"
379,1770.tif,1,51,26,"['```json\n{\n  ""ecDNA"": 0\n}\n```', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
380,1771.tif,2,2,2,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '```json\n{\n  ""ecDNA"": 5\n}\n```', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
381,1772.tif,2,0,0,"['{\n  ""ecDNA"": {\n    ""count"": 2\n  }\n}', '{\n    ""ecDNA"": 4,\n    ""nuclei"": 7,\n    ""chromosomes"": 8\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": {\n    ""count"": 0,\n    ""description"": ""No ecDNA detected in the image.""\n  }\n}', '{""ecDNA"": 2}']"
382,1773.tif,1,4,0,"['{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 5\n}', '```json\n[2]\n```', '{""ecDNA"": 3}']"
383,1774.tif,0,42,12,"['{""ecDNA"": 3}', '{""ecDNA"": 2}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 0\n}']"
384,1775.tif,1,0,0,"['{\n  ""ecDNA"": {\n    ""count"": 2\n  }\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 1\n}', '{""ecDNA"": 0}', '{\n  ""ecDNA"": 0\n}']"
385,1776.tif,1,0,0,"['{\n  ""ecDNA"": {\n    ""count"": 5\n  }\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '```json\n[3]\n```', '```json\n[\n    {\n        ""ecDNA"": 42\n    }\n]\n```']"
386,1779.tif,1,0,0,"['{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}', '{\n""ecDNA"": 2\n}', '{\n""ecDNA"": {\n""Count"": 0\n}\n}', '{\n  ""ecDNA"": 3\n}']"
387,1785.tif,0,2,1,"['{\n  ""ecDNA"": 5\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 2\n}']"
388,1786.tif,0,4,7,"['{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 2}', '```json\n[1]\n```', '{\n  ""ecDNA"": 0\n}', '```json\n[3]\n```']"
389,1789.tif,0,30,8,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 4\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
390,1790.tif,2,22,32,"['{\n""ecDNA"": 0\n}', '{""ecDNA"": 4}', '{\n    ""ecDNA"": 2\n}', '{""ecDNA"": 3}', '{\n    ""ecDNA"": {\n        ""count"": 2\n    }\n}']"
391,1791.tif,1,0,0,"['{\n""ecDNA"": 3\n}', '{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 4\n}', '{""ecDNA"": 3}', '{\n""ecDNA"": 4\n}']"
392,1793.tif,0,15,5,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '```json\n[3]\n```']"
393,1794.tif,0,17,5,"['{""ecDNA"": 0}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA_count"": 5}', '```json\n[\n    {\n        ""ecDNA"": 1\n    }\n]\n```', '{\n  ""ecDNA"": 0\n}']"
394,1796.tif,1,0,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 1}']"
395,1797.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": {\n    ""count"": 1\n  }\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
396,18.tif,3,0,0,"['{\n""ecDNA"": 3\n}', '{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 0\n}']"
397,1809.tif,0,36,18,"['{\n  ""ecDNA_count"": 0\n}', '{\n    ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}', '```json\n{\n  ""ecDNA"": 5\n}\n```', '```json\n{\n  ""ecDNA"": 3\n}\n```']"
398,1810.tif,0,28,17,"['```json\n{\n  ""ecDNA"": 5\n}\n```', '{\n  ""ecDNA"": 0\n}', '```json\n{\n  ""ecDNA"": 3\n}\n```', '{\n  ""ecDNA_count"": 0\n}', '{\n""ecDNA"": 3\n}']"
399,1813.tif,0,16,5,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 20,\n  ""nuclei"": 35,\n  ""chromosomes"": 60\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 5\n}', '{""ecDNA"": 2}']"
400,1814.tif,0,7,14,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 3\n}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 3\n}']"
401,1822.tif,1,5,7,"['{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 2\n  }\n}', '{\n  ""ecDNA"": 2\n}']"
402,1823.tif,1,0,0,"['{""ecDNA"": 3}', '{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
403,1825.tif,1,0,0,"['{\n  ""ecDNA"": 1\n}', '{""ecDNA"": 2}', '{\n    ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 0\n}', '```json\n[\n  {\n    ""ecDNA"": 2\n  }\n]\n```']"
404,1826.tif,0,6,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 1024\n  }\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}']"
405,1827.tif,0,3,0,"['{\n  ""ecDNA"": 5\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{""ecDNA"": 2}', '{\n""ecDNA"": 3\n}']"
406,1829.tif,1,17,3,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 1}']"
407,1830.tif,0,26,4,"['{""ecDNA"": 0}', '{\n  ""ecDNA"": 3\n}', '```json\n{\n  ""ecDNA_count"": 3\n}\n```', '{\n  ""ecDNA"": 3\n}', '```json\n[10]\n```']"
408,1831.tif,1,0,2,"['{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
409,1833.tif,0,19,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 2\n}']"
410,1834.tif,0,17,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
